# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1076.76306975898 1077.426760829146 634.0637753653572 326.1846051467712 -0.39028957108160434 0.14411150848430188 0.0004829764082917516 -0.0028608674348486046 brics-sbc-001_cam0 -0.4634454534959339 -0.09287306150617497 0.7960893082985159 0.3779348082582616 0.06878802732367226 0.25164141505424004 4.09784487460788
2 1280 720 1069.240343186079 1065.4431148343963 694.326616548564 325.56470687207917 -0.4357670113979483 0.21298066363544943 -0.0013262283962733703 0.0019442869616673492 brics-sbc-002_cam0 0.7891787585906361 0.024252627194530283 -0.5079599522791503 -0.34436228589099166 -0.37613199535926267 -0.1341236933777327 3.8253880493460453
3 1280 720 1081.9921799704798 1083.011999429038 637.2445496727947 308.720854254738 -0.43208128749330244 0.21271520965974344 0.005645881406309465 0.0002738130685658377 brics-sbc-003_cam0 0.6142150508964469 -0.28258172445304097 -0.7349413353641718 -0.05242779635411933 0.32637822909822345 -0.3659630102829783 3.679219068563935
4 1280 720 1088.407560350414 1086.1620584640395 648.185169135638 343.75991029935216 -0.41028878174066263 0.1650423389131114 0.0018339544706220047 0.00018958137110162182 brics-sbc-003_cam1 -0.44623192566086184 0.3143906069379009 0.8346168530921758 0.07382630510008521 0.7147391511300663 0.04312872002379607 4.202398009394456
5 1280 720 1063.283483441575 1058.803330209974 629.7786795267945 394.5738411085312 -0.4060474404374839 0.16282844017468992 -0.0002658667571295486 -0.0028553584377652035 brics-sbc-004_cam0 0.8591571918578232 -0.029323808571252986 -0.45890309674177143 -0.22449272088570846 0.46444896302675 -1.2507869549489299 3.084463678314099
6 1280 720 1065.6104985544462 1066.8812383668815 644.435676710325 347.0169061892428 -0.3966872190297464 0.15463014577255785 0.001848296953911236 0.0030541448173289046 brics-sbc-004_cam1 0.7648212037525444 -0.28977070562261703 -0.5753820289424156 0.004121313333033081 0.25065109008613135 -0.3226220463483917 3.9830191902400607
7 1280 720 1058.1560998589964 1057.7590705089838 630.851659739415 337.506792492659 -0.42875376980886154 0.1770062101947005 0.0007125129906052128 -0.003550069578838297 brics-sbc-005_cam0 0.6766797245433238 0.047367997636236454 -0.6375752965974426 -0.3651829190427561 0.252341959949008 0.20388860231329284 3.4298099872433703
8 1280 720 1068.9946629004644 1059.8061946960006 690.1112678130771 364.3692142392856 -0.4122898547551056 0.1614010227679781 1.0888036101154965e-05 -0.002524422095955153 brics-sbc-005_cam1 -0.363338412634254 -0.010529035715293622 0.8824774014795981 0.2985095864275434 -0.5680282590080427 -0.6053696852646261 3.5817302036234615
9 1280 720 1091.1016284986895 1092.806612978598 690.5536572650195 330.7286219221443 -0.3797279667238076 0.10998496009829783 0.0008856223360188607 -0.002321048884838041 brics-sbc-006_cam0 0.9366750855740431 -0.02339191467697178 -0.262177358745777 -0.23098838705374913 0.5603827248166284 0.18321600759390055 3.8716046447645143
10 1280 720 1035.419404338529 1034.1584761941097 626.1842454305629 348.3414853203742 -0.3996546677804977 0.15574097465327277 0.0014873882974602705 0.0030452359507739477 brics-sbc-007_cam0 0.990473471532085 0.022757594465363264 0.11970939055991435 -0.06414090658155817 -0.6152974604803894 0.06638742445613731 3.3182364073596196
