# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1076.76306975898 1077.426760829146 634.0637753653572 326.1846051467712 -0.39028957108160434 0.14411150848430188 0.0004829764082917516 -0.0028608674348486046 brics-sbc-001_cam0 -0.026788111917639034 -0.24876230761999074 -0.21422853143438164 0.9441958735807593 0.6014232377722802 0.6948926402207802 0.6742817532971349
2 1280 720 1069.240343186079 1065.4431148343963 694.326616548564 325.56470687207917 -0.4357670113979483 0.21298066363544943 -0.0013262283962733703 0.0019442869616673492 brics-sbc-002_cam0 -0.034558055140859856 0.1911974688672871 -0.2509970676546062 0.9482877942652288 0.19540779742395317 0.7435798646140115 0.2767846944521221
3 1280 720 1081.9921799704798 1083.011999429038 637.2445496727947 308.720854254738 -0.43208128749330244 0.21271520965974344 0.005645881406309465 0.0002738130685658377 brics-sbc-003_cam0 0.00834282469116256 0.024033956123452195 0.23038705071999344 0.9727664535178893 0.5083939884887124 0.1385721043877291 -0.13653924329198464
4 1280 720 1088.407560350414 1086.1620584640395 648.185169135638 343.75991029935216 -0.41028878174066263 0.1650423389131114 0.0018339544706220047 0.00018958137110162182 brics-sbc-003_cam1 0.06919371023697304 -0.15712628933561326 0.2782263520657657 0.9450469071318309 0.817733933316641 0.10991869224172443 0.15049827601062432
5 1280 720 1063.283483441575 1058.803330209974 629.7786795267945 394.5738411085312 -0.4060474404374839 0.16282844017468992 -0.0002658667571295486 -0.0028553584377652035 brics-sbc-004_cam0 -0.08116881014570779 0.2974207905775396 -0.14816934479898725 0.9396799151059897 0.12016286727711126 0.5106172046961741 -0.007130311756879859
6 1280 720 1065.6104985544462 1066.8812383668815 644.435676710325 347.0169061892428 -0.3966872190297464 0.15463014577255785 0.001848296953911236 0.0030541448173289046 brics-sbc-004_cam1 -0.03659987531746591 0.2439550141159739 0.22057182422856694 0.9436601456938314 0.1339509090599449 0.1490747044293071 -0.20676920970485296
7 1280 720 1058.1560998589964 1057.7590705089838 630.851659739415 337.506792492659 -0.42875376980886154 0.1770062101947005 0.0007125129906052128 -0.003550069578838297 brics-sbc-005_cam0 -0.03022793182588544 0.01988302731116039 -0.24113350023518135 0.9698172881665923 0.4681444180190378 0.7623374869698799 0.316707180690467
8 1280 720 1068.9946629004644 1059.8061946960006 690.1112678130771 364.3692142392856 -0.4122898547551056 0.1614010227679781 1.0888036101154965e-05 -0.002524422095955153 brics-sbc-005_cam1 -0.0073526515949295145 -0.34821510239766534 -0.07211019737548677 0.9346080999066804 0.5949302934292914 0.45695286482833747 0.558497636345272
9 1280 720 1091.1016284986895 1092.806612978598 690.5536572650195 330.7286219221443 -0.3797279667238076 0.10998496009829783 0.0008856223360188607 -0.002321048884838041 brics-sbc-006_cam0 -0.07525963173019447 0.48044581214975707 -0.21218008785688094 0.8476363723535241 -0.06992746018522686 0.7951358599976317 0.22817001671079656
10 1280 720 1035.419404338529 1034.1584761941097 626.1842454305629 348.3414853203742 -0.3996546677804977 0.15574097465327277 0.0014873882974602705 0.0030452359507739477 brics-sbc-007_cam0 -0.1788451830432518 0.7797189200938003 -0.21241554281772423 0.5611884205143893 -0.682986433492798 0.6708022242430265 0.5945341761850066
11 1280 720 1089.6908673923726 1089.2830851391873 598.0276759441351 370.56517265250716 -0.4133157943043392 0.16328525468288332 -0.00022987769182402322 -5.658390470714153e-05 brics-sbc-007_cam1 -0.22477961129467075 0.7061954393593441 -0.10962810068949598 0.6623773904002864 -0.6043229661930914 0.6399681486644853 0.3217330770131257
12 1280 720 1043.9651797056074 1046.9752903735307 625.0798732569957 344.35381823041826 -0.3967930695727012 0.16657909016100483 0.00033682324633088975 -0.0005968813952920064 brics-sbc-008_cam0 0.08572359531672293 0.4920928220790327 0.1636173656067617 0.8507205636025096 -0.1377625868526309 0.12122128640845889 -0.21129343615438312
13 1280 720 1090.2433448525926 1090.445884000245 643.7135396471737 326.2904258874419 -0.42236399048998524 0.17207924240086192 0.003995148134348869 -0.0032356968059672067 brics-sbc-008_cam1 0.18238304605156547 0.6798461348852033 0.19199285237009386 0.6838745513859965 -0.5002503141858811 0.12868095885924574 -0.14797731854201757
14 1280 720 1070.1700789289807 1072.2261490904752 680.2960449849205 349.87287138626806 -0.4018435378362454 0.1235302274832284 -0.0021552752711444566 0.0018235550920009647 brics-sbc-009_cam0 0.13910933298467007 0.8191050979238459 0.1830347107708816 0.525560392994703 -0.7815348613208102 0.16986350914192977 0.20206688790457777
